"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"Temperature-stabilized storage containers","CN101896783 (A)","2010-11-24","HYDE RODERICK A;  JUNG EDWARD K Y;  MYHRVOLD NATHAN P;  TEGREENE CLARENCE T;  WILLIAM GATES III;  CHARLES WHITMER;  WOOD LOWELL L JR","SEARETE LLC","F25D23/00","B65D81/3802; B65D81/3811; B65D81/3813; B65D81/3823; B65D81/3825; B65D81/3834; B65D81/3888; B65D81/3897; F25D3/08; B65D2203/10; F25D2201/10; Y02A30/30","CN200880119918","20081211","WO2008US13646 20081211; US20070001757 20071211","US2161295 (A); CN2460457Y (Y); US2006196876 (A1); US7278278 (B2)","","","","","","","","","","","","",""
"Temperature-stabilized storage containers with directed access","CN101896335 (A); CN101896335 (B)","2010-11-24","HYDE RODERICK A;  JUNG EDWARD K Y;  MYHRVOLD NATHAN P;  TEGREENE CLARENCE T;  GATES III WILLIAM H;  CHARLES WHITMER;  WOOD LOWELL L JR","SEARETE LLC","B32B3/02; B32B9/00","B65D81/3813; B65D81/3825; F25D3/08; Y02A30/30","CN200880120367","20081211","US20070001757 20071211; US20070006089 20071227; US20070006088 20071227; WO2008US13648 20081211","","","","","","","","","","","","","",""
"Determining influencers","US2010318374 (A1); US8290973 (B2)","2010-12-16","FLAKE GARY W [US];  GATES III WILLIAM H [US];  GOUNARES ALEXANDER G [US];  HILLIS W DANIEL [US];  LEVIEN ROYCE A [US];  MALAMUD MARK A [US];  MUNDIE CRAIG J [US];  PAYNE CHRISTOPHER D [US];  RASHID RICHARD F [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","FLAKE GARY W, ; GATES, III WILLIAM H, ; GOUNARES ALEXANDER G, ; HILLIS W. DANIEL, ; LEVIEN ROYCE A, ; MALAMUD MARK A, ; MUNDIE CRAIG J, ; PAYNE CHRISTOPHER D, ; RASHID RICHARD F, ; TEGREENE CLARENCE T, ; WHITMER CHARLES, ; WOOD, JR. LOWELL L, ; THE INVENTION SCIENCE FUND I, LLC","G06Q30/00","G06Q10/10; G06Q30/02; G06Q30/0603","US20100660799","20100303","US20100660799 20100303; US20070799460 20070430; US20070811349 20070607; US20070799461 20070430; US20070811402 20070608; US20070824551 20070629; US20070824582 20070629; US20070906537 20071001; US20070824580 20070629; US20070881800 20070727; US20070906780 20071002; US20080290310 20081028; US20080290675 20081031","US7516094 (B2); US7769626 (B2); US7797204 (B2); US7818399 (B1); US7933956 (B2); US7966369 (B1); US8005697 (B1); US7996256 (B1); US8013729 (B2); US2006020662 (A1); US2007022079 (A1); US2007027761 (A1); US2004056908 (A1); US2005071251 (A1); US2007067215 (A1); US7031952 (B1); US2005102202 (A1); US2006184558 (A1); US2006195362 (A1); US7096214 (B1); US6466918 (B1); US2004205065 (A1); US2004205327 (A1); US2006271425 (A1); US7143089 (B2); US2009282052 (A1); US2004254911 (A1); US2005278297 (A1); US2006277108 (A1); US2006282304 (A1); US7516094 (B2); US7769626 (B2); US7797204 (B2); US7818399 (B1); US7933956 (B2); US7966369 (B1); US7996256 (B1); US8005697 (B1); US8013729 (B2)","","","","","","","","US6466918 (B1); US7031952 (B1); US7096214 (B1); US7143089 (B2); US2004056908 (A1); US2004205065 (A1); US2004205327 (A1); US2004254911 (A1); US2005071251 (A1); US2005102202 (A1); US2005278297 (A1); US2006020662 (A1); US2006184558 (A1); US2006195362 (A1); US2006271425 (A1); US2006277108 (A1); US2006282304 (A1); US2007022079 (A1); US2007027761 (A1); US2007067215 (A1); US2009282052 (A1)","","","","",""
"Temperature-stabilized medicinal storage systems","CN101980643 (A); CN101980643 (B)","2011-02-23","HYDE RODERICK A;  JUNG EDWARD K Y;  MYHRVOLD NATHAN P;  TEGREENE CLARENCE T;  GATES III WILLIAM H;  CHARLES WHITMER;  WOOD JR LOWELL L","SEARETE LLC","A47J39/00; A47J41/00; B65D81/38; B65D83/72","A61B50/30; A61J1/165; A61B2017/00084; A61B2050/0016; A61B2050/0018; A61J2200/42; A61J2200/44; A61J2200/72; A61J2200/74; A61J2200/76; F28D2021/0077; F28F2013/005","CN200980109399","20090316","WO2009US01715 20090316; US20080077322 20080317","US5376184 (A); US6030580 (A); CN2414742Y (Y); US2002130131 (A1); US6877504 (B2); US7240513 (B1); CN101073524 (A)","","","","","","","","","","","","",""
"Method of retrofitting an engine","US2011067216 (A1); US8601685 (B2)","2011-03-24","HYDE RODERICK A [US];  GATES III WILLIAM H [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  WEAVER THOMAS A [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","INVENTION SCIENCE FUND I LLC [US]","B23P17/04","B60K6/24; B60K6/485; F02B63/04; F02B71/04; H02K7/1884; B60W2520/10; B60W2552/15; B60W2555/20; F02B63/041; Y02T10/62; Y10T29/49009; Y10T29/49233; Y10T29/49716","US20100927759","20101123","US20100927759 20101123; US20070974173 20071010","US7501725 (B2); US7622814 (B2); US7777357 (B2); US7856714 (B2); US7950356 (B2); US8037852 (B2); US8125093 (B2); US1167366 (A); US1788140 (A); US2581600 (A); US4182288 (A); US6506139 (B2); US7318506 (B1); US2009007861 (A1); US2008036312 (A1); US4996953 (A); US5002020 (A); US6199519 (B1); US7019414 (B2); US7185615 (B2); US7188023 (B1); US6541875 (B1); US7207299 (B2); US2009094827 (A1); US1714364 (A); US4517931 (A); US4924956 (A); US7047916 (B2); US2010127507 (A1); US7721686 (B2); US2839035 (A); US4270495 (A); US6244226 (B1); US6397793 (B2); US6748907 (B2); US2006124083 (A1); US4213428 (A); US4392457 (A); US4532431 (A); US4602174 (A); US5329768 (A); US6590360 (B2); US6759755 (B2); US2007157894 (A1); US7245038 (B2); US7249584 (B2); US4104995 (A); US4342920 (A); US4399499 (A); US6278204 (B1); US6779495 (B2); US6932030 (B2); US2006185631 (A1); US7082909 (B2); US7255070 (B2); US3105153 (A); US3206609 (A); US4112826 (A); US4403153 (A); US6945202 (B2); US7426910 (B2); US2178310 (A); US3766399 (A); US4876991 (A); US6957631 (B2); US2334688 (A); US2362151 (A); US5829393 (A); US6651599 (B2); US2005257757 (A1); US2008271711 (A1); US2010289263 (A1); US4631455 (A); US7143725 (B1); US2009322098 (A1); US7624709 (B2); US7501725 (B2); US7622814 (B2); US7777357 (B2); US7856714 (B2); US7950356 (B2); US8037852 (B2); US8125093 (B2)","","","","","","","","US1167366 (A); US1714364 (A); US1788140 (A); US2178310 (A); US2334688 (A); US2362151 (A); US2581600 (A); US2839035 (A); US3105153 (A); US3206609 (A); US3766399 (A); US4104995 (A); US4112826 (A); US4182288 (A); US4213428 (A); US4270495 (A); US4342920 (A); US4392457 (A); US4399499 (A); US4403153 (A); US4517931 (A); US4532431 (A); US4602174 (A); US4631455 (A); US4876991 (A); US4924956 (A); US4996953 (A); US5002020 (A); US5329768 (A); US5829393 (A); US6199519 (B1); US6244226 (B1); US6278204 (B1); US6397793 (B2); US6506139 (B2); US6541875 (B1); US6590360 (B2); US6651599 (B2); US6748907 (B2); US6759755 (B2); US6779495 (B2); US6932030 (B2); US6945202 (B2); US6957631 (B2); US7019414 (B2); US7047916 (B2); US7082909 (B2); US7143725 (B1); US7185615 (B2); US7188023 (B1); US7207299 (B2); US7245038 (B2); US7249584 (B2); US7255070 (B2); US7318506 (B1); US7426910 (B2); US7624709 (B2); US7721686 (B2); US2005257757 (A1); US2006124083 (A1); US2006185631 (A1); US2007157894 (A1); US2008036312 (A1); US2008271711 (A1); US2009007861 (A1); US2009094827 (A1); US2009322098 (A1); US2010127507 (A1); US2010289263 (A1); CN1258337 (A); DE102008042169 (A1); JP2005524016 (A); JP2005318708 (A); WO2004025098 (A1)","","","","",""
"Opposed piston electromagnetic engine","US2011221208 (A1); US8151745 (B2)","2011-09-15","HYDE RODERICK A [US];  GATES III WILLIAM H [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  WEAVER THOMAS A [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","SEARETE LLC [US]","F02B65/00","F02B63/04; F02B71/04; F02B75/021; F02B75/04; F02B75/042; F02B75/048; F02B75/28; H02K7/1884; F02B63/041; H02K35/02","US201113068543","20110512","US201113068543 20110512; US20070973640 20071009","US4491095 (A); US1167366 (A); US1788140 (A); US2581600 (A); US4182288 (A); US6506139 (B2); US7318506 (B1); US2009007861 (A1); US2008036312 (A1); US4996953 (A); US5002020 (A); US6199519 (B1); US7019414 (B2); US7185615 (B2); US7188023 (B1); US2829276 (A); US6541875 (B1); US2005081804 (A1); US7207299 (B2); US1714364 (A); US4154200 (A); US4517931 (A); US4924956 (A); US2005109295 (A1); US7047916 (B2); US7721686 (B2); US2839035 (A); US4270495 (A); US6244226 (B1); US6397793 (B2); US6748907 (B2); US2006124083 (A1); US4213428 (A); US4392457 (A); US4532431 (A); US4602174 (A); US5329768 (A); US6590360 (B2); US6759755 (B2); US2007157894 (A1); US7245038 (B2); US7249584 (B2); US4104995 (A); US4342920 (A); US4399499 (A); US6278204 (B1); US6779495 (B2); US6932030 (B2); US2006185631 (A1); US7082909 (B2); US7255070 (B2); US3105153 (A); US3206609 (A); US4112826 (A); US4403153 (A); US6945202 (B2); US7426910 (B2); US2178310 (A); US3766399 (A); US4876991 (A); US6957631 (B2); US2334688 (A); US2362151 (A); US5829393 (A); US6651599 (B2); US2005257757 (A1); US2008271711 (A1); US4631455 (A); US7143725 (B1); US7624709 (B2); US7845317 (B2); US4491095 (A)","","","","","","","","US1167366 (A); US1714364 (A); US1788140 (A); US2178310 (A); US2334688 (A); US2362151 (A); US2581600 (A); US2829276 (A); US2839035 (A); US3105153 (A); US3206609 (A); US3766399 (A); US4104995 (A); US4112826 (A); US4154200 (A); US4182288 (A); US4213428 (A); US4270495 (A); US4342920 (A); US4392457 (A); US4399499 (A); US4403153 (A); US4517931 (A); US4532431 (A); US4602174 (A); US4631455 (A); US4876991 (A); US4924956 (A); US4996953 (A); US5002020 (A); US5329768 (A); US5829393 (A); US6199519 (B1); US6244226 (B1); US6278204 (B1); US6397793 (B2); US6506139 (B2); US6541875 (B1); US6590360 (B2); US6651599 (B2); US6748907 (B2); US6759755 (B2); US6779495 (B2); US6932030 (B2); US6945202 (B2); US6957631 (B2); US7019414 (B2); US7047916 (B2); US7082909 (B2); US7143725 (B1); US7185615 (B2); US7188023 (B1); US7207299 (B2); US7245038 (B2); US7249584 (B2); US7255070 (B2); US7318506 (B1); US7426910 (B2); US7624709 (B2); US7721686 (B2); US7845317 (B2); US2005081804 (A1); US2005109295 (A1); US2005257757 (A1); US2006124083 (A1); US2006185631 (A1); US2007157894 (A1); US2008036312 (A1); US2008271711 (A1); US2009007861 (A1); DE102008042169 (A1); GB2219671 (A); JP2005318708 (A); WO0145977 (A2); WO0188353 (A1); WO2004025098 (A1)","","","","",""
"Methods of manufacturing temperature-stabilized storage containers","US2011308201 (A1); US8322147 (B2)","2011-12-22","HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  GATES III WILLIAM H [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  GATES III WILLIAM H [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  TOKITAE LLC [US]","B65B11/00","B65B11/50","US201113199439","20110829","US201113199439 20110829; US20080012490 20080131; US20070001757 20071211; US20070006088 20071227; US20070006089 20071227; US20080008695 20080110","US6287652 (B2); US7807242 (B2); US6287652 (B2); US7807242 (B2)","","","","","","","","US520584 (A); US2717937 (A); US3034845 (A); US3069045 (A); US3921844 (A); US4003426 (A); US4057029 (A); US4057101 (A); US4094127 (A); US4184601 (A); US4312669 (A); US4358490 (A); US4388051 (A); US4402927 (A); US4428854 (A); US4482465 (A); US4526015 (A); US4726974 (A); US4796432 (A); US4810403 (A); US4955204 (A); US4956976 (A); US4976308 (A); US5012102 (A); US5103337 (A); US5116105 (A); US5138559 (A); US5245869 (A); US5261241 (A); US5330816 (A); US5355684 (A); US5376184 (A); US5390734 (A); US5444223 (A); US5452565 (A); US5548116 (A); US5563182 (A); US5580522 (A); US5590054 (A); US5600071 (A); US5633077 (A); US5709472 (A); US5782344 (A); US5800905 (A); US5846224 (A); US5857778 (A); US5900554 (A); US5915283 (A); US6030580 (A); US6042264 (A); US6050598 (A); US6209343 (B1); US6212904 (B1); US6213339 (B1); US6234341 (B1); US6272679 (B1); US6453749 (B1); US6485805 (B1); US6571971 (B1); US6673594 (B1); US6692695 (B1); US6742673 (B2); US6751963 (B2); US6771183 (B2); US6841917 (B2); US6877504 (B2); US6967051 (B1); US7001656 (B2); US7240513 (B1); US7258247 (B2); US7267795 (B2); US7278278 (B2); US7596957 (B2); US2002050514 (A1); US2002083717 (A1); US2002084235 (A1); US2002130131 (A1); US2003072687 (A1); US2003148773 (A1); US2004035120 (A1); US2004055313 (A1); US2004055600 (A1); US2004103302 (A1); US2005009192 (A1); US2005067441 (A1); US2005247312 (A1); US2005274378 (A1); US2006021355 (A1); US2006071585 (A1); US2006191282 (A1); US2006196876 (A1); US2006259188 (A1); US2007041814 (A1); US2008269676 (A1); US2009275478 (A1); US2009301125 (A1); US2010016168 (A1); US2010028214 (A1); US2010287963 (A1)","","","","",""
"Electromagnetic engine","US2012160189 (A1)","2012-06-28","HYDE RODERICK A [US];  GATES III WILLIAM H [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  WEAVER THOMAS A [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","HYDE RODERICK A [US];  GATES III WILLIAM H [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  WEAVER THOMAS A [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US];  SEARETE LLC","F02B63/04","B60L3/0023; B60L15/2009; B60L50/16; B60L50/40; F02B63/04; F02B75/32; B60L2210/40; B60L2220/12; B60L2220/14; B60L2240/12; B60L2240/14; B60L2240/36; B60L2240/421; B60L2240/423; B60L2240/429; B60L2240/441; B60L2240/445; B60L2240/642; B60L2240/662; B60L2250/26; B60L2270/12; F01B9/047; F02B71/04; F02B75/28; Y02T10/64; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/16","US201213385674","20120228","US20070973297 20071004; US20090587407 20091005; US201213385674 20120228","US2008036312 (A1); US2009094827 (A1); US2009322098 (A1); US2010127507 (A1); US2010289263 (A1)","","","","","","","","","","","","",""
"Temperature-stabilized storage containers with directed access","US2012168448 (A1)","2012-07-05","HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  GATES III WILLIAM H [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  GATES III WILLIAM H [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  TOKITAE LLC A LTD LIABILITY COMPANY OF THE STATE OF DELAWARE","B65D81/38","B65D81/3811; B65D81/3823; B65D81/3897; B65D2203/10; Y02A30/30","US201213385088","20120131","US201213385088 20120131; US20070006088 20071227; US20070006089 20071227; US20070001757 20071211","US2006027467 (A1); US5215214 (A); US6321977 (B1)","","","","","","","","","","","","",""
"Systems, devices, methods, and compositions including fluidized x-ray shielding compositions","US2013112898 (A1); US9006694 (B2)","2013-05-09","ECKHOFF PHILIP A [US];  GATES III WILLIAM H [US];  HAGELSTEIN PETER L [US];  HYDE RODERICK A [US];  KARE JORDIN T [US];  LANGER ROBERT [US];  LIEBERMAN EREZ [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  SCHNALL-LEVIN MICHAEL [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","ECKHOFF PHILIP A [US];  GATES III WILLIAM H [US];  HAGELSTEIN PETER L [US];  HYDE RODERICK A [US];  KARE JORDIN T [US];  LANGER ROBERT [US];  LIEBERMAN EREZ [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  SCHNALL-LEVIN MICHAEL [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US];  ELWHA LLC","G21F3/02","A61B6/10; G21F1/02; G21F3/00; G21F3/02","US201113373135","20111103","US201113373135 20111103; US201113373139 20111103","US7142634 (B2); US2009050812 (A1); JP2008008102 (A); US6198806 (B1); US7142634 (B2); US7197108 (B2); US8158432 (B2); US8354658 (B1); US2009050812 (A1); JP2008008102 (A)","","","","","","","","US4195229 (A); US4957943 (A); US5130342 (A); US5245195 (A); US5745925 (A); US5960794 (A); US7193230 (B2); US7608847 (B2); US7973299 (B2); US2007138415 (A1); US2009184269 (A1)","","","","",""
"Systems, devices, methods, and compositions including fluidized x-ray shielding compositions","US2013112897 (A1); US8710476 (B2)","2013-05-09","ECKHOFF PHILIP A [US];  GATES III WILLIAM H [US];  HAGELSTEIN PETER L [US];  HYDE RODERICK A [US];  KARE JORDIN T [US];  LANGER ROBERT [US];  LIEBERMAN EREZ [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  SCHNALL-LEVIN MICHAEL [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","ECKHOFF PHILIP A [US];  GATES III WILLIAM H [US];  HAGELSTEIN PETER L [US];  HYDE RODERICK A [US];  KARE JORDIN T [US];  LANGER ROBERT [US];  LIEBERMAN EREZ [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  SCHNALL-LEVIN MICHAEL [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US];  ELWHA LLC","G21F3/00","A61B6/107; G21F1/02; G21F3/00; G21F3/02","US201113373137","20111103","US201113373137 20111103","US7193230 (B2); US2009050812 (A1); US8158432 (B2); US4195229 (A); US4195229 (A); US7193230 (B2); US7197108 (B2); US8158432 (B2); US2009050812 (A1)","","","","","","","","US4957943 (A); US5130342 (A); US5245195 (A); US5745925 (A); US5960794 (A); US6198806 (B1); US7608847 (B2); US7973299 (B2); US8354658 (B1); US2007138415 (A1); US2009184269 (A1)","","","","",""
"TEMPERATURE-STABILIZED STORAGE CONTAINERS FOR MEDICINALS","US2013119072 (A1)","2013-05-16","HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  GATES III WILLIAM H [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","TOKITAE LLC [US];  TOKITAE LLC [US]","B65D81/18","A61J1/165; B65D81/18; B65D81/3802; B65D81/3811; B65D81/3813; B65D81/3823; B65D81/3825; B65D81/3834; B65D81/3888; B65D81/3897; A01N1/0263; A61J2200/42; A61J2200/44; A61J2200/72; A61J2200/74; A61J2200/76; B65D2203/10","US201213720328","20121219","US20070001757 20071211; US20070006089 20071227; US20070006088 20071227; US20080008695 20080110; US201213720328 20121219","","","","","","","","","","","","","",""
"VISUAL PRESENTATION OF SPEAKER-RELATED INFORMATION","US2013144623 (A1); US8934652 (B2)","2013-06-06","LORD RICHARD T [US];  LORD ROBERT W [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  HYDE RODERICK A [US];  WOOD JR LOWELL L [US];  ISHIKAWA MURIEL Y [US];  WOOD VICTORIA Y H [US];  WHITMER CHARLES [US];  BAHL PARAMVIR [US];  BURGER DOUGLAS C [US];  CHANDRA RANVEER [US];  GATES III WILLIAM H [US];  HOLMAN PAUL [US];  KARE JORDIN T [US];  MUNDIE CRAIG J [US];  PAEK TIM [US];  TAN DESNEY S [US];  ZHONG LIN [US];  DYOR MATTHEW G [US]","LORD RICHARD T [US];  LORD ROBERT W [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  HYDE RODERICK A [US];  WOOD JR LOWELL L [US];  ISHIKAWA MURIEL Y [US];  WOOD VICTORIA Y H [US];  WHITMER CHARLES [US];  BAHL PARAMVIR [US];  BURGER DOUGLAS C [US];  CHANDRA RANVEER [US];  GATES III WILLIAM H [US];  HOLMAN PAUL [US];  KARE JORDIN T [US];  MUNDIE CRAIG J [US];  PAEK TIM [US];  TAN DESNEY S [US];  ZHONG LIN [US];  DYOR MATTHEW G [US]","G10L15/00","G09B21/006; G10L15/26; G10L17/00","US201113324232","20111213","US201113324232 20111213; US201113309248 20111201","US2011270922 (A1); US2011270922 (A1)","","","","","","","","US5239586 (A); US6157727 (A); US6226389 (B1); US6304648 (B1); US6529866 (B1); US6628767 (B1); US6731202 (B1); US6944474 (B2); US7224981 (B2); US7324015 (B1); US7606444 (B1); US7783022 (B1); US8050917 (B2); US8369184 (B2); US8618952 (B2); US8669854 (B2); US2002021799 (A1); US2003139881 (A1); US2003158900 (A1); US2004064322 (A1); US2004100868 (A1); US2004122678 (A1); US2004172252 (A1); US2004230651 (A1); US2004263610 (A1); US2005018828 (A1); US2005038648 (A1); US2005041529 (A1); US2005088981 (A1); US2005135583 (A1); US2005207554 (A1); US2006195850 (A1); US2008061958 (A1); US2008195387 (A1); US2008270132 (A1); US2008300777 (A1); US2009070102 (A1); US2009198735 (A1); US2009204620 (A1); US2009271176 (A1); US2009281789 (A1); US2009282103 (A1); US2009306957 (A1); US2009307616 (A1); US2010040217 (A1); US2010135478 (A1); US2010153497 (A1); US2010185434 (A1); US2010222098 (A1); US2011010041 (A1); US2011153324 (A1); US2011184721 (A1); US2011196580 (A1); US2011216928 (A1); US2011237295 (A1); US2011307241 (A1); US2012010886 (A1); US2012025965 (A1); US2012046833 (A1); US2012069131 (A1); US2012072109 (A1); US2012075407 (A1); US2012197629 (A1); US2012323575 (A1); US2013021950 (A1); US2013022189 (A1); US2013058471 (A1); US2013063542 (A1); US2013103399 (A1); US2013204616 (A1); US2014055242 (A1)","","","","",""
"ENHANCED VOICE CONFERENCING","US2013144619 (A1)","2013-06-06","LORD RICHARD T [US];  LORD ROBERT W [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  HYDE RODERICK A [US];  WOOD JR LOWELL L [US];  ISHIKAWA MURIEL Y [US];  WOOD VICTORIA Y H [US];  WHITMER CHARLES [US];  BAHL PARAMVIR [US];  BURGER DOUGHLAS C [US];  CHANDRA RANVEER [US];  GATES III WILLIAM H [US];  HOLMAN PAUL [US];  KARE JORDIN T [US];  MUNDIE CRAIG J [US];  PAEK TIM [US];  TAN DESNEY S [US];  ZHONG LIN [US];  DYOR MATTHEW G [US]","LORD RICHARD T [US];  LORD ROBERT W [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  HYDE RODERICK A [US];  WOOD JR LOWELL L [US];  ISHIKAWA MURIEL Y [US];  WOOD VICTORIA Y H [US];  WHITMER CHARLES [US];  BAHL PARAMVIR [US];  BURGER DOUGHLAS C [US];  CHANDRA RANVEER [US];  GATES III WILLIAM H [US];  HOLMAN PAUL [US];  KARE JORDIN T [US];  MUNDIE CRAIG J [US];  PAEK TIM [US];  TAN DESNEY S [US];  ZHONG LIN [US];  DYOR MATTHEW G [US]","G10L15/26; G10L15/00; G10L17/00","G06F3/165; G10L17/00; H04L12/1822; H04M3/56; G10L13/02; G10L15/26; H04M3/568; H04M2203/5081","US201213356419","20120123","US201213356419 20120123; US201113309248 20111201; US201113324232 20111213; US201113340143 20111229","US2011270922 (A1); US2013204616 (A1); US2013063542 (A1); US2005088981 (A1); US2005018828 (A1); US6628767 (B1); US2013058471 (A1); US2013021950 (A1); US2012323575 (A1); US2012075407 (A1); US2010153497 (A1); US2010040217 (A1); US2009282103 (A1); US2005207554 (A1); US2005135583 (A1); US2004263610 (A1); US2004230651 (A1); US2003158900 (A1); US8050917 (B2); US7783022 (B1); US6304648 (B1); US2013022189 (A1); US2006195850 (A1); US2014055242 (A1); US2009307616 (A1); US2008300777 (A1); US2009119324 (A1); US2007118498 (A1); US2008117838 (A1); US8352245 (B1)","","","","","","","","","","","","",""
